sentence_incorrect,sentence_correct,wrong,correct
"Încercând să regăsesc pagina de internet în care apărea faptul că a condus formațiunea de pompierii, constat că între timp a dispărut.","Încercând să regăsesc pagina de internet în care apărea faptul că a condus formațiunea de pompieri, constat că între timp a dispărut.","pompierii,","pompieri,"
"Indesit în România Compania este prezentă și în România, prin Ariston Thermo România, filiala Ariston Thermo Group, subzidiara Indesit.","Indesit în România Compania este prezentă și în România, prin Ariston Thermo România, filiala Ariston Thermo Group, subsidiara Indesit.",subzidiara,subsidiara
"Achiziționat în 1602 de către Maximilien de Béthune, marele Sully, primul duce cu acest nume, transformă castelul după înntrebuințările sale, edificând în același timp și parcul.","Achiziționat în 1602 de către Maximilien de Béthune, marele Sully, primul duce cu acest nume, transformă castelul după întrebuințările sale, edificând în același timp și parcul.",înntrebuințările,întrebuințările
Cum poate o biata pasăre să vestească moartea cuiva?,Cum poate o biată pasăre să vestească moartea cuiva?,biata,biată
În anul 1953  sa construit pentru el o clădire nouă.,În anul 1953  s-a construit pentru el o clădire nouă.,sa,s-a
Maxima include un limbaj de programare complet asemănător ca sintaxa cu ALGOL  dar ca semantica se aseamănă cu lisp.,Maxima include un limbaj de programare complet asemănător ca sintaxa cu ALGOL  dar ca semantica se aseamănă cu Lisp.,lisp.,Lisp.
"La 8:43, Delfinul a lansat torpila din tubul 6 din pupa de la o distanță de 800 m. În scurt timp sa auzit explozia torpilei, urmată de o explozie și mai mare.","La 8:43, Delfinul a lansat torpila din tubul 6 din pupa de la o distanță de 800 m. În scurt timp s-a auzit explozia torpilei, urmată de o explozie și mai mare.",sa,s-a
"„Când lam văzut, am simțit cum îmi iese sufletul”, spune Sher Khan, tatăl lui Mohamed.","„Când l-am văzut, am simțit cum îmi iese sufletul”, spune Sher Khan, tatăl lui Mohamed.",lam,l-am
America de Nord și marea Caraibelor se află la nord-vest.,America de Nord și Marea Caraibelor se află la nord-vest.,marea,Marea
"Stirom este o companie producătoare de ambalaje din sticlă din România, înfințată în anul 1966 ca și companie de stat.","Stirom este o companie producătoare de ambalaje din sticlă din România, înființată în anul 1966 ca și companie de stat.",înfințată,înființată
"Ea oferă studențiilor formarea ca inginer  mecanic, cu diverse specializări.","Ea oferă studenților formarea ca inginer  mecanic, cu diverse specializări.",studențiilor,studenților
Am regăsit numai articolul Freiwillige Feuerwehr bassenheim în care e listat printre fondatori.,Am regăsit numai articolul Freiwillige Feuerwehr Bassenheim în care e listat printre fondatori.,bassenheim,Bassenheim
"Aceasta se observă chiar deasupra orizont ului spre vest, întro foarte scurtă perioadă de timp, între apusul Soarelui și apusul Lunii.","Aceasta se observă chiar deasupra orizont ului spre vest, într-o foarte scurtă perioadă de timp, între apusul Soarelui și apusul Lunii.",întro,într-o
"Chiar dacă este un articol tradus, e recomandabil să reformulați frazele, spre a nu fii acuzat de plagiat.","Chiar dacă este un articol tradus, e recomandabil să reformulați frazele, spre a nu fi acuzat de plagiat.",fii,fi
"Acesta provoacă editarea pagini, iar textul este cel curent, mai puțin modificarea selectată.","Acesta provoacă editarea paginii, iar textul este cel curent, mai puțin modificarea selectată.","pagini,","paginii,"
El aude desigur cum nevasta lui rezistă avansuriilor directe din partea lui Tartuffe.,El aude desigur cum nevasta lui rezistă avansurilor directe din partea lui Tartuffe.,avansuriilor,avansurilor
Casetă destinată articolelor despre facultățiile universităților.,Casetă destinată articolelor despre facultățile universităților.,facultățiile,facultățile
"Ca răspuns la recomandările comisiei, NASA a demarat o reproiectare totală a propulsoarelor navii spațiale, reproiectare supervizată de un grup independent, după cum stipula comisia.","Ca răspuns la recomandările comisiei, NASA a demarat o reproiectare totală a propulsoarelor navetei spațiale, reproiectare supervizată de un grup independent, după cum stipula comisia.",navii,navetei
În paralel sa construit o fabrică de vopsele la Oradea.,În paralel s-a construit o fabrică de vopsele la Oradea.,sa,s-a
"În timp ce contribuțile Google la această platformă se așteaptă să rămână open source, numărul versiunilor derivate  ar putea exploda, folosind o varietate de licențe.","În timp ce contribuțiile Google la această platformă se așteaptă să rămână open source, numărul versiunilor derivate  ar putea exploda, folosind o varietate de licențe.",contribuțile,contribuțiile
Discuțile dintre cele două părți au fost aprinse încă de la început.,Discuțiile dintre cele două părți au fost aprinse încă de la început.,Discuțile,Discuțiile
"Premiera în România a fost la City Mall din București, în data de 4 aprilie 2009 ora 16:00, find o vizionare specială, urmând ca apoi să fie difuzat pe Cartoon Network România pe data de 13 aprilie.","Premiera în România a fost la City Mall din București, în data de 4 aprilie 2009 ora 16:00, fiind o vizionare specială, urmând ca apoi să fie difuzat pe Cartoon Network România pe data de 13 aprilie.",find,fiind
Campionatul este format dintro singură serie compusă din 14 echipe.,Campionatul este format dintr-o singură serie compusă din 14 echipe.,dintro,dintr-o
În România a fost colaborator al Revistei Fundațiilor regale.,În România a fost colaborator al Revistei Fundațiilor Regale.,regale.,Regale.
"Atunci când Napoleon I, după ce ocupase în prealabil Viena, încearcă, la sfârșitul lui mai, să treacă Dunărea  în dreptul localităților Aspern și Essling, arhiducele Carol trece imediat la ofensivă, atacand cu îndârjire și abilitate forțele franceze mult inferioare numeric.","Atunci când Napoleon I, după ce ocupase în prealabil Viena, încearcă, la sfârșitul lui mai, să treacă Dunărea  în dreptul localităților Aspern și Essling, arhiducele Carol trece imediat la ofensivă, atacând cu îndârjire și abilitate forțele franceze mult inferioare numeric.",atacand,atacând
"„Nu știu nimic despre tine”, ia spus șeful ei.","„Nu știu nimic despre tine”, i-a spus șeful ei.",ia,i-a
Din acesta v-a mai rămâne decât donjonul.,Din acesta va mai rămâne decât donjonul.,v-a,va
"Calitativ, funcția delta poate fii concepută ca o funcție care este egală cu zero peste tot, cu excepția lui x.","Calitativ, funcția delta poate fi concepută ca o funcție care este egală cu zero peste tot, cu excepția lui x.",fii,fi
Unirea Dej este una dintre cele mai vechi formați de fotbal din România.,Unirea Dej este una dintre cele mai vechi formații de fotbal din România.,formați,formații
Prin intermediul acesta se pot înregistra mărci care să fie valabile în toate statele care participă la acest protocol.,Prin intermediul acestuia se pot înregistra mărci care să fie valabile în toate statele care participă la acest protocol.,acesta,acestuia
Sibylla na fost foarte populară în Suedia.,Sibylla n-a fost foarte populară în Suedia.,na,n-a
"Dacă soluția se primește tulbure, aceasta trebuie filtrata.","Dacă soluția se primește tulbure, aceasta trebuie filtrată.",filtrata.,filtrată.
Andrei Postolache:Acum am ajuns și noi la o anumită maturitate suntem un grup de oameni care am început să ne cunoaștem de ceva vreme.,"Andrei Postolache:Acum am ajuns și noi la o anumită maturitate, suntem un grup de oameni care am început să ne cunoaștem de ceva vreme.",maturitate,"maturitate,"
"Aici, ținând de Catedra de Mecanică și Vibrații se află Centrul de Modelare a Protezării și Intervenților Chirurgicale asupra Scheletului Uman.","Aici, ținând de Catedra de Mecanică și Vibrații se află Centrul de Modelare a Protezării și Intervențiilor Chirurgicale asupra Scheletului Uman.",Intervenților,Intervențiilor
Aceste abilității o protejează în lupte.,Aceste abilități o protejează în lupte.,abilității,abilități
Am vorbit cu el despre dragostea noastră comună pentru Mike Oldfield și lam rugat să cânte la Royal Albert Hall.,Am vorbit cu el despre dragostea noastră comună pentru Mike Oldfield și l-am rugat să cânte la Royal Albert Hall.,lam,l-am
"Pentru dânsa, împăratu făcu cele mai nebunești cheltuieli: mări de bogăție, cum spunea Nicetas, fură vărsate la picioarele ei.","Pentru dânsa, împăratul făcu cele mai nebunești cheltuieli: mări de bogăție, cum spunea Nicetas, fură vărsate la picioarele ei.",împăratu,împăratul
"Adaosul grafic este subliniere și dinamism, acent necesar, conferă elocvență și coeziune, este gest, scriere pe deasupra.","Adaosul grafic este subliniere și dinamism, accent necesar, conferă elocvență și coeziune, este gest, scriere pe deasupra.",acent,accent
Există zvonuri că Christie Brinkley și John Mellencamp ar fii împreună,Există zvonuri că Christie Brinkley și John Mellencamp ar fi împreună,fii,fi
"Ulterior, sa trecut la întocmirea lor în țară, păstrând spiritul celor dintâi.","Ulterior, s-a trecut la întocmirea lor în țară, păstrând spiritul celor dintâi.",sa,s-a
"La scrierea hamiltonianului în tratarea cuantica, acestor mărimi i se asociază operatori diferențiali analogi în baza principiului corespondenței.","La scrierea hamiltonianului în tratarea cuantică, acestor mărimi i se asociază operatori diferențiali analogi în baza principiului corespondenței.","cuantica,","cuantică,"
"O scară monumentală ne conduce spre încăperiile regale, acum transformate în Muzeul Artelor Decorative.","O scară monumentală ne conduce spre încăperile regale, acum transformate în Muzeul Artelor Decorative.",încăperiile,încăperile
"EYP constitue un forum în care tinerii își pot exprima parerile, fara nici o conotație politică și fara să apeleze la interpretarea de rol.","EYP constituie un forum în care tinerii își pot exprima parerile, fara nici o conotație politică și fara să apeleze la interpretarea de rol.",constitue,constituie
"Prima telenovelă în care a jucat a fost Olvidarte jamas, interpretând rolul Isabelei, iar filmările lea terminat când era însărcinată în 8 luni.","Prima telenovelă în care a jucat a fost Olvidarte jamas, interpretând rolul Isabelei, iar filmările le-a terminat când era însărcinată în 8 luni.",lea,le-a
"Discul a debutat direct pe locul 1 în clasamentul din Taiwan, unde a staționat timp de două saptămâni.","Discul a debutat direct pe locul 1 în clasamentul din Taiwan, unde a staționat timp de două săptămâni.",saptămâni.,săptămâni.
"Odată cu aceasta treaptă, sa introdus și obligativitatea celor 12 clase, obligativitate care a fost anulată odată cu revoluția din 1989.","Odată cu aceasta treaptă, s-a introdus și obligativitatea celor 12 clase, obligativitate care a fost anulată odată cu revoluția din 1989.",sa,s-a
"Constituirea în parc a unui hipodrom este solicitată de nobili orașului și de Brigada VI de Roșiori care aveau grajdurile în Valea Fetei, în imediata apropiere a Parcului.","Constituirea în parc a unui hipodrom este solicitată de nobilii orașului și de Brigada VI de Roșiori care aveau grajdurile în Valea Fetei, în imediata apropiere a Parcului.",nobili,nobilii
"Circumcizia este făcută la numeroși copi de sex masculin, înainte de a ieși din maternitate.","Circumcizia este făcută la numeroși copii de sex masculin, înainte de a ieși din maternitate.",copi,copii
Această decizie v-a afecta tânara generație de sportive de la cluburile din România.,Această decizie va afecta tânara generație de sportive de la cluburile din România.,v-a,va
"Cotările Brent au crescut miercuri cu 61 de cenți ajungând la 48,36 USD per baril.","Cotările Brent au crescut miercuri cu 61 de cenți, ajungând la 48,36 USD per baril.",cenți,"cenți,"
"Se înțelege deci că atunci când murii în 1160, de friguri, Manuel a suferit din pricina asta.","Se înțelege deci că atunci când muri în 1160, de friguri, Manuel a suferit din pricina asta.",murii,muri
Mai jos este prezentată discografia cântăreț ei și române  de muzica ușoară 'Corina Chiriac '.,Mai jos este prezentată discografia cântăreț ei și române  de muzică ușoară 'Corina Chiriac '.,muzica,muzică
Toate acestea leau dăruit craiul leșescu Tăutului logofătului.,Toate acestea le-au dăruit craiul leșescu Tăutului logofătului.,leau,le-au
"S. Vladimirov, Ecuațiile fizicii matematice, Editura ștințifică și enciclopedică, București 1980.","S. Vladimirov, Ecuațiile fizicii matematice, Editura științifică și enciclopedică, București 1980.",ștințifică,științifică
"Studenți sunt încurajați sa se implice în problemele curente și în procesul democratic, să practice o gândire independentă și sâ aibă inițiativă personală.","Studenții sunt încurajați sa se implice în problemele curente și în procesul democratic, să practice o gândire independentă și sâ aibă inițiativă personală.",Studenți,Studenții
"În anul 2009, firma avea o cotă de piața de electrocasnice de aproximativ 15%.","În anul 2009, firma avea o cotă pe piața de electrocasnice de aproximativ 15%.",de,pe
"Întro aripă a Orologeriei Catedra de Mașini Hidraulice are laboratoarele de pompe, de aerodinamică  și cel de fluide magnetice.","Într-o aripă a Orologeriei Catedra de Mașini Hidraulice are laboratoarele de pompe, de aerodinamică  și cel de fluide magnetice.",Întro,Într-o
"Înainte titlu melodiei Achy Breaky Heart era achin‘ breakin’ heart, ulterior fiind schimbat în 1992  de acesta pe albumul Some Gave All.","Înainte titlul melodiei Achy Breaky Heart era achin‘ breakin’ heart, ulterior fiind schimbat în 1992  de acesta pe albumul Some Gave All.",titlu,titlul
"În compoziția sa se găsește vanilie, scoarță de vișin, rădăcină de lemn dulce, rădăcină de sarsaparilla, scoarță de rădăcina de sassafras (dafin american), nucșoară, anason, melasă și alte ingrediente.","În compoziția sa se găsește vanilie, scoarță de vișin, rădăcină de lemn dulce, rădăcină de sarsaparilla, scoarță de rădăcină de sassafras (dafin american), nucșoară, anason, melasă și alte ingrediente.",rădăcina,rădăcină
"Ulterior, aceste instituții aveau să constituie bazele înființări primelor două universități moderne din Romania, Universitatea din Iași  (1860) și Universitatea din București (1864).","Ulterior, aceste instituții aveau să constituie bazele înființării primelor două universități moderne din Romania, Universitatea din Iași  (1860) și Universitatea din București (1864).",înființări,înființării
"A lucrat la întocmirea Regulamentului de Arbitraj, în 1953 la bucurești, in cadrul Comisiei Internaționale de Arbitri.","A lucrat la întocmirea Regulamentului de Arbitraj, în 1953 la București, in cadrul Comisiei Internaționale de Arbitri.","bucurești,","București,"
Petiția universitariilor de prestigiu din Iași și țară,Petiția universitarilor de prestigiu din Iași și țară,universitariilor,universitarilor
"Fără a avea pretenția unui mare vin alb, atrage atenția și trezește interes amatoriilor de vinuri tinere și fructuoase.","Fără a avea pretenția unui mare vin alb, atrage atenția și trezește interes amatorilor de vinuri tinere și fructuoase.",amatoriilor,amatorilor
"Byron a absolvit liceul Los Gatos  apoi a studiat filmul și sculptura la Universitatea San Francisco State university, terminând magna cum laude  în mai 1998 cu o licență de Artă în Film și Sculptură.","Byron a absolvit liceul Los Gatos  apoi a studiat filmul și sculptura la Universitatea San Francisco State University, terminând magna cum laude  în mai 1998 cu o licență de Artă în Film și Sculptură.","university,","University,"
"Și-a început cariera o dată cu reality-show-ul Protagonistas de novela II, unde la cunoscut pe tatăl copilului său, și anume actorul cubanez William Levy.","Și-a început cariera o dată cu reality-show-ul Protagonistas de novela II, unde l-a cunoscut pe tatăl copilului său, și anume actorul cubanez William Levy.",la,l-a
"Complementar, energile emoționale ale filmului sunt concentrate în eroul însuși-Serpico.","Complementar, energiile emoționale ale filmului sunt concentrate în eroul însuși-Serpico.",energile,energiile
"""Din bestie îl transform în pisicuță"" a spus Moroșanu.","""Din bestie îl transform în pisicuță"", a spus Moroșanu.","pisicuță""","pisicuță"","
Restul familiei și regele lor nu sunt păcăliți de șiretenile lui Tartuffe și îl detestă.,Restul familiei și regele lor nu sunt păcăliți de șireteniile lui Tartuffe și îl detestă.,șiretenile,șireteniile
Indesit este cel mai cunoscut dintre branduriile grupului în afara Italiei.,Indesit este cel mai cunoscut dintre brandurile grupului în afara Italiei.,branduriile,brandurile
"În luna mai, mai mulți înalți responsabili ai fifa au fost arestați în Elveția în acest caz de corupție.","În luna mai, mai mulți înalți responsabili ai FIFA au fost arestați în Elveția în acest caz de corupție.",fifa,FIFA
"Acesta este dur și mental, când se enerveaza putând arunca cu săgeți din diamante și cu care poate crea scuturi invincibile.","Acesta este dur și mental, când se enervează putând arunca cu săgeți din diamante și cu care poate crea scuturi invincibile.",enerveaza,enervează
"Pictorița Veronica Dragomir, ea de altfel și întreaga ei operă artistică sunt născute întro singură zodie: tragicul.","Pictorița Veronica Dragomir, ea de altfel și întreaga ei operă artistică sunt născute într-o singură zodie: tragicul.",întro,într-o
Lucrările abstracte realizate de pictorița sunt un indiciu indubitabil că poate aborda orice curent artistic.,Lucrările abstracte realizate de pictoriță sunt un indiciu indubitabil că poate aborda orice curent artistic.,pictorița,pictoriță
Ești îngrijorat că albumul nu v-a arăta muzica ta în adevărata ei lumină?,Ești îngrijorat că albumul nu va arăta muzica ta în adevărata ei lumină?,v-a,va
De la începutul aniilor ‘50 a fost preocupat de justa interpretare și aplicare omogenă a regulilor de arbitraj.,De la începutul anilor ‘50 a fost preocupat de justa interpretare și aplicare omogenă a regulilor de arbitraj.,aniilor,anilor
Programul live pe Internet al Antenei 3 v-a fi disponibil contra cost,Programul live pe Internet al Antenei 3 va fi disponibil contra cost,v-a,va
El protejează deasemenea uretra contra infecției și a rănirilor acidentale.,El protejează deasemenea uretra contra infecției și a rănirilor accidentale.,acidentale.,accidentale.
"Acesta se răzbună, povestind întâmplarea: în afară de aceasta, el distruse prima ediție din Ch iliade și sătul de a mai lucra pe gratis, opri savantele sale comentari la cântul al XV-lea al Iliadei și se puse în căutarea altei protectoare.","Acesta se răzbună, povestind întâmplarea: în afară de aceasta, el distruse prima ediție din Ch iliade și sătul de a mai lucra pe gratis, opri savantele sale comentarii la cântul al XV-lea al Iliadei și se puse în căutarea altei protectoare.",comentari,comentarii
"Membru în jurii la expoziți internaționale, naționale și județene.","Membru în jurii la expoziții internaționale, naționale și județene.",expoziți,expoziții
"Conform lecției lui Cézanne, impresia sucesiunii lucrurilor în spațiu este creată numai de alăturarea și opoziția zonelor de culoare caldă și rece.","Conform lecției lui Cézanne, impresia succesiunii lucrurilor în spațiu este creată numai de alăturarea și opoziția zonelor de culoare caldă și rece.",sucesiunii,succesiunii
"Nevelson a crescut în florența, Italia  și a început să picteze la vârsta de doi ani.","Nevelson a crescut în Florența, Italia  și a început să picteze la vârsta de doi ani.","florența,","Florența,"
O versiune a Macsyma  a fost susținută de Bill schelter din 1982 până la moartea sa în 2001.,O versiune a Macsyma  a fost susținută de Bill Schelter din 1982 până la moartea sa în 2001.,schelter,Schelter
"„Nu pot uita ce sa întâmplat în acea zi”, spune Mohamed cu o privire aspră.","„Nu pot uita ce s-a întâmplat în acea zi”, spune Mohamed cu o privire aspră.",sa,s-a
"Satul este situat la o altitudine de 629 metri, la izvoarele râuluii Siretul Mare, în partea de centru-sud a raionului Vijnița.","Satul este situat la o altitudine de 629 metri, la izvoarele râului Siretul Mare, în partea de centru-sud a raionului Vijnița.",râuluii,râului
"Din punct de vedere financiar,pentru prima dată în mulți ani are logică.","Din punct de vedere financiar,pentru prima dată în mulți ani, are logică.",ani,"ani,"
Caracterul conștient ale unei persoane nu este afectat.,Caracterul conștient al unei persoane nu este afectat.,ale,al
"InterAgro are o capacitate de stocare a cerealelor de 700.000 de tone în silozuri, la care se adaugă alte 450.000 de tone în magazi.","InterAgro are o capacitate de stocare a cerealelor de 700.000 de tone în silozuri, la care se adaugă alte 450.000 de tone în magazii.",magazi.,magazii.
"Începând cu 21 octombrie 2008, Android a fost disponibil ca Open source.","Începând cu 21 octombrie 2008, Android a fost disponibil ca Open Source.",source.,Source.
"De asemenea, 36 de sisteme germane antiaeriene „Ghepard” a fost puse în funcțiune după 2004.","De asemenea, 36 de sisteme germane antiaeriene „Ghepard” au fost puse în funcțiune după 2004.",a,au
Titlurile sunt redate în grafia epoci.,Titlurile sunt redate în grafia epocii.,epoci.,epocii.
Difuzia apare la corpuriile aflate în toate stările de agregare.,Difuzia apare la corpurile aflate în toate stările de agregare.,corpuriile,corpurile
Legislativ ale administrației prezidențiale.,Legislativ al administrației prezidențiale.,ale,al
Atunci eu am fost împușcat în spate iar el în cap.,"Atunci eu am fost împușcat în spate, iar el în cap.",spate,"spate,"
la ora optisprezece,la ora optsprezece,optisprezece,optsprezece
Felicitări Barcelona,"Felicitări, Barcelona",Felicitări,"Felicitări,"
într-o proporție de maxim 10%,într-o proporție de maximum 10%,maxim,maximum
Da domnule...,"Da, domnule...",Da,"Da,"
plante de cannabis,plante de canabis,cannabis,canabis
doi din primii,doi dintre primii,din,dintre
pentru a participa la ceremoniile de înhumare ale,pentru a participa la ceremoniile de înhumare a,ale,a
centre de reciclare ale bateriilor,centre de reciclare a bateriilor,ale,a
Stră-bunicul meu,Străbunicul meu,Stră-bunicul,Străbunicul
Directorul Spitalul de Obstretică și Ginecologie,Directorul Spitalului de Obstretică și Ginecologie,Spitalul,Spitalului
deci maxim trei oameni,deci maximum trei oameni,maxim,maximum
În așteptarea marei finale,În așteptarea marii finale,marei,marii
iar cea maximă de 26...27 de grade,iar cea maximă de 26–27 de grade,26...27,26–27
Producator,Producător,Producator,Producător
Președintele la cumpărături,"Președintele, la cumpărături",Președintele,"Președintele,"
Sindicatul Mecanicilor de Locomotovă,Sindicatul Mecanicilor de Locomotivă,Locomotovă,Locomotivă
mesaje pe SMS;,mesaje prin SMS;,pe,prin
în maxim 30 de zile,în maximum 30 de zile,maxim,maximum
șaptesprezece și doisprezece minute,șaptesprezece și douăsprezece minute,doisprezece,douăsprezece
iată ce mesaj trimetea John Kennedy,iată ce mesaj trimitea John Kennedy,trimetea,trimitea
cîte ceva,câte ceva,cîte,câte
de dta asta,de data asta,dta,data
a și-nceput deja,a început deja,și-nceput,început
mai ales între orele doisprezece și cincisprezece,mai ales între orele douăsprezece și cincisprezece,doisprezece,douăsprezece
Cîtă încredere,Câtă încredere,Cîtă,Câtă
un municiu cu vocație europeană,un municipiu cu vocație europeană,municiu,municipiu
Credeti,Credeți,Credeti,Credeți
oraganizator,organizator,oraganizator,organizator
Super-meci la Lisabona,Supermeci la Lisabona,Super-meci,Supermeci
potolește-ți foamea cu hituri la maxim,potolește-ți foamea cu hituri la maximum,maxim,maximum
"dacă, de pilda, ...","dacă, de pildă, ...","pilda,","pildă,"
fondurile europene nerabursabile,fondurile europene nerambursabile,nerabursabile,nerambursabile
"o piesă nouă, nou-nouță","o piesă nouă, nouă-nouță",nou-nouță,nouă-nouță
"ultime date oficiale, date aici în urmă cu o jumătate de oră","ultime date oficiale, comunicate aici în urmă cu o jumătate de oră",date,comunicate
Forinti maghiari,Forinți maghiari,Forinti,Forinți
fara să,fără să,fara,fără
pentru studiul de fezebilitate al Canalului Dunăre-București,pentru studiul de fezebilitate a Canalului Dunăre-București,al,a
recomandarile Comisiei europene,recomandările Comisiei europene,recomandarile,recomandările
"...aceste construcții monolitice, aceste monștri de sticlă","...aceste construcții monolitice, acești monștri de sticlă",aceste,acești
Accidentul s-a petrect la ieșirea din Ploiești,Accidentul s-a petrecut la ieșirea din Ploiești,petrect,petrecut
Rm Vâlcea: incendiul de la spital,Rm. Vâlcea: incendiul de la spital,Rm,Rm.
douăzeci și unu de ore de coșmar,douăzeci și una de ore de coșmar,unu,una
ministrul muncii,ministrul Muncii,muncii,Muncii
critic al politicii fiscale ale autorităților,critic al politicii fiscale a autorităților,ale,a
avertizare cod galden,avertizare cod galben,galden,galben
patruzeci și unu de mii cinci sute de euro,patruzeci și una de mii cinci sute de euro,unu,una
patru lei și douăsprezece bani,patru lei și doisprezece bani,douăsprezece,doisprezece
Un dans atât de murdar din punct de vedere al ideilor,Un dans atât de murdar din punctul de vedere al ideilor,punct,punctul
optâsprezece,optsprezece,optâsprezece,optsprezece
temperaturile neobișnuit de calde,temperaturile neobișnuit de mari,calde,mari
Pe fondul luptelor pentru influență și a conflictelor personale,Pe fondul luptelor pentru influență și al conflictelor personale,a,al
va avea consilieri din douăzeci și unu de țări,va avea consilieri din douăzeci și una de țări,unu,una
din punct de vedere al chichițelor electorale,din punctul de vedere al chichițelor electorale,punct,punctul
Minivacanță însîngerată,Minivacanță însângerată,însîngerată,însângerată
fetele bisericești,fețele bisericești,fetele,fețele
șaizeci și una de minute,șaizeci și unu de minute,una,unu
pentru proiectele de management ale deșeurilor,pentru proiectele de management al deșeurilor,ale,al
Cele patruzeci și una de puncte,Cele patruzeci și unu de puncte,una,unu
Doișpe steluțe?,Douăsprezece steluțe?,Doișpe,Douăsprezece
Otravuri informaționale,Otrăvuri informaționale,Otravuri,Otrăvuri
concursuluii,concursului,concursuluii,concursului
Președenția consiliului județean,Președinția consiliului județean,Președenția,Președinția
doisprezece state,douăsprezece state,doisprezece,douăsprezece
la ora doisprezece,la ora douăsprezece,doisprezece,douăsprezece
paguboase,păguboase,paguboase,păguboase
ȘEDINȚA COMUNĂ A CAM. DEPUTAȚILOR ȘI A SENATULUI,ȘEDINȚA COMUNĂ A CAMEREI DEPUTAȚILOR ȘI A SENATULUI,CAM.,CAMEREI
cotidianele britanice Times și Sunday Times,cotidienele britanice Times și Sunday Times,cotidianele,cotidienele
Prin donarea îndemnizațiilor,Prin donarea indemnizațiilor,îndemnizațiilor,indemnizațiilor
în continuare pe ștatele de plată ale Ministerului de Externe bulgar.,în continuare pe statele de plată ale Ministerului de Externe bulgar.,ștatele,statele
propietara locuinței,proprietara locuinței,propietara,proprietara
Smolenk,Smolensk,Smolenk,Smolensk
către treizeci și unu de prefecturi,către treizeci și una de prefecturi,unu,una
cetățeni ucrainieni,cetățeni ucraineni,ucrainieni,ucraineni
Funționari,Funcționari,Funționari,Funcționari
asupra președinteleui federației,asupra președintelui federației,președinteleui,președintelui
doi virgulă unu miliarde de creștini,două virgulă unu miliarde de creștini,doi,două
patruzeci și unu de plecări,patruzeci și una de plecări,unu,una
doisprezece amendamente,douăsprezece amendamente,doisprezece,douăsprezece
Energie verde in Cluj,Energie verde în Cluj,in,în
Vai de mine.,Vai de mine!,mine.,mine!
Cu maxim 3 − 4 sute de mii de euro,Cu maximum 3 − 4 sute de mii de euro,maxim,maximum
la nivelul farmaciilor sau a medicilor de familie,la nivelul farmaciilor sau al medicilor de familie,a,al
din punct de vedere al instituției,din punctul de vedere al instituției,punct,punctul
O ofertă de 25 mil lire sterline,O ofertă de 25 milioane lire sterline,mil,milioane
nu mai zi de rău de Fernando,nu mai zice de rău de Fernando,zi,zice
"Prin telefon, De la Budapesta","Prin telefon, de la Budapesta",De,de
Un talent înăscut,Un talent înnăscut,înăscut,înnăscut
summit-ul NATO,summitul NATO,summit-ul,summitul
pe finalul acestui an,la finalul acestui an,pe,la
guiaș,gulaș,guiaș,gulaș
hypermarket,hipermarket,hypermarket,hipermarket
vroia,voia,vroia,voia
transfuzii sanguine,transfuzii sangvine,sanguine,sangvine
"Șoric, Mararu și Tonița","Șoric, Mararu și Tonitza",Tonița,Tonitza
pensioanarii,pensionarii,pensioanarii,pensionarii
nu s-a aflat la bordul avionului întrucât a vrut să rămână la spital,"nu s-a aflat la bordul avionului, întrucât a vrut să rămână la spital",avionului,"avionului,"
Ford la Craiova,"Ford, la Craiova",Ford,"Ford,"
din punct de vedere al organismului,din punctul de vedere al organismului,punct,punctul
Tot felul de abțibilde de-astea,Tot felul de abțibilduri de-astea,abțibilde,abțibilduri
Să-i batem pe italieni,Să-i batem pe italieni!,italieni,italieni!
extrem de important pt România,extrem de important pentru România,pt,pentru
o sută doisprezece voturi,o sută douăsprezece voturi,doisprezece,douăsprezece
nicoleta,Nicoleta,nicoleta,Nicoleta
ANTI-IMPERIALIȘTI,ANTIIMPERIALIȘTI,ANTI-IMPERIALIȘTI,ANTIIMPERIALIȘTI
dacă analizăm textul moțiunii depusă astăzi de,dacă analizăm textul moțiunii depuse astăzi de,depusă,depuse
peste doisprezece mii de metri,peste douăsprezece mii de metri,doisprezece,douăsprezece
PREȘEDINTELE BARACK OBAMA NU VA FI PREZENT LA FUNERALI,PREȘEDINTELE BARACK OBAMA NU VA FI PREZENT LA FUNERALII,FUNERALI,FUNERALII
nu oferii nimănui datele tale,nu oferi nimănui datele tale,oferii,oferi
maxim 300 de parlamentari,maximum 300 de parlamentari,maxim,maximum
prin telefon Diana,"prin telefon, Diana",telefon,"telefon,"
POLITIA CAPITALEI,POLIȚIA CAPITALEI,POLITIA,POLIȚIA
maxim două,maximum două,maxim,maximum
în maxim o oră,în maximum o oră,maxim,maximum
originală din Republica Moldova,originară din Republica Moldova,originală,originară
snowmobil-ul,snow-mobilul,snowmobil-ul,snow-mobilul
Ministrul de Interne în direct cu românii,"Ministrul de Interne, în direct cu românii",Interne,"Interne,"
aceasta șansă,această șansă,aceasta,această
ceremonialul de plecare al militarilor,ceremonialul de plecare a militarilor,al,a
președinte Educația 2000 +,președintele Educația 2000 +,președinte,președintele
"peste o oră jumate, maxim două","peste o oră jumate, maximum două",maxim,maximum
un citremur,un cutremur,citremur,cutremur
maxim 300 de membri,maximum 300 de membri,maxim,maximum
"de timp dar, din fericire","de timp, dar, din fericire",timp,"timp,"
TAROM bun de plată,"TAROM, bun de plată",TAROM,"TAROM,"
