sentence_incorrect,sentence_correct,wrong,correct
douăzeci și una de grame,douăzeci și unu de grame,una,unu
îm ce măsură,în ce măsură,îm,în
din peste 700 de mii cât este populația județului,"din peste 700 de mii, cât este populația județului",mii,"mii,"
asistenele,asistentele,asistenele,asistentele
a acestei acțiuni purtată de,a acestei acțiuni purtate de,purtată,purtate
agenda summit-ului,agenda summitului,summit-ului,summitului
mama fetiței de doi ani dispărută,mama fetiței de doi ani dispărute,dispărută,dispărute
Povestea unei mame israeliene,Povestea unei mame israelite,israeliene,israelite
...pentru Cabinetul său,...pentru cabinetul său,Cabinetul,cabinetul
ca urmare a expunerii la pata de perol,ca urmare a expunerii la pata de petrol,perol,petrol
din punct de vedere al femeilor,din punctul de vedere al femeilor,punct,punctul
Proteste anti-guvernamentale,Proteste antiguvernamentale,anti-guvernamentale,antiguvernamentale
lucrările de modernizare ale aeroportului,lucrările de modernizare a aeroportului,ale,a
primvicepreședinte,prim-vicepreședinte,primvicepreședinte,prim-vicepreședinte
răului cel mai mic,răului celui mai mic,cel,celui
genoflexiuni,genuflexiuni,genoflexiuni,genuflexiuni
maxim 250 de euro,maximum 250 de euro,maxim,maximum
cu ajutorul computerului și a instrumentelor de aici,cu ajutorul computerului și al instrumentelor de aici,a,al
în rândul subofițerilor sau ai ofițerilor,în rândul subofițerilor sau al ofițerilor,ai,al
foarte multe SMS-uri vizavi de cele două subiecte ale noastre,foarte multe SMS-uri legate de cele două subiecte ale noastre,vizavi,legate
Adio celulită!,"Adio, celulită!",Adio,"Adio,"
asupra spitalelor și managementelor acestor,asupra spitalelor și managementului acestor,managementelor,managementului
cu o judokă din Mongolia,cu o judoka din Mongolia,judokă,judoka
Cei mai bine plătiți pensionari,Cel mai bine plătiți pensionari,Cei,Cel
necesitatea utilizării exclusivă a canalelor,necesitatea utilizării exclusive a canalelor,exclusivă,exclusive
permis de port-armă,permis de portarmă,port-armă,portarmă
treizeci și una de grade la Giurgiu,treizeci și unu de grade la Giurgiu,una,unu
minim al ultimilor șapte luni,minim al ultimelor șapte luni,ultimilor,ultimelor
În timpul manevrelor și a duelurilor,În timpul manevrelor și al duelurilor,a,al
pe fondul măsurilor de austeritate ai partenerilor europeni,pe fondul măsurilor de austeritate ale partenerilor europeni,ai,ale
Conceptul de instruire al soldaților,Conceptul de instruire a soldaților,al,a
Secretar de stat Ministerul Sănătății,"Secretar de stat, Ministerul Sănătății",stat,"stat,"
deprecierea yen-ului,deprecierea yenului,yen-ului,yenului
Președintele în direct cu românii,"Președintele, în direct cu românii",Președintele,"Președintele,"
optzeci și unu de producții radiofonice,optzeci și una de producții radiofonice,unu,una
Echipat cu echipamente și aplicații,Prevăzut cu echipamente și aplicații,Echipat,Prevăzut
într-o mizerie profesională și umană criminale,într-o mizerie profesională și umană criminală,criminale,criminală
așteptăm notele voastre pe 0751040066,așteptăm notele voastre la 0751040066,pe,la
Mirea câțiva zeci de metri,Mirea câteva zeci de metri,câțiva,câteva
Bals,Balș,Bals,Balș
nu numai în cazul meu dar și în cel al Elenei Udrea,"nu numai în cazul meu, dar și în cel al Elenei Udrea",meu,"meu,"
sugrailor și copiilor,sugarilor și copiilor,sugrailor,sugarilor
Indicații contrarii,Indicații contrare,contrarii,contrare
producator,producător,producator,producător
transfer firesc a unor jucători valoroși,transfer firesc al unor jucători valoroși,a,al
"Tu al cui esti, Mitică?","Tu al cui ești, Mitică?","esti,","ești,"
maști de gaze,măști de gaze,maști,măști
"mai mare zoom, la maxim","mai mare zoom, la maximum",maxim,maximum
o problemă a medicinii moderne,o problemă a medicinei moderne,medicinii,medicinei
în cadrul acestor ceremoni,în cadrul acestor ceremonii,ceremoni,ceremonii
într-o ședință a Consiliului de Administrație a societății,într-o ședință a Consiliului de Administrație al societății,a,al
Dir. DADR Mehedinți,Directorul DADR Mehedinți,Dir.,Directorul
ofiter,ofițer,ofiter,ofițer
vehicolelor,vehiculelor,vehicolelor,vehiculelor
întradevăr,într-adevăr,întradevăr,într-adevăr
În una dintre cele mai costisitoare divorțuri,În unul dintre cele mai costisitoare divorțuri,una,unul
dumincă,duminică,dumincă,duminică
de domeniul DNA-ului și a Parchetului,de domeniul DNA-ului și al Parchetului,a,al
reprezentanții mass-media,reprezentanții mass-mediei,mass-media,mass-mediei
pentru maxim 70 de lei săptămânal,pentru maximum 70 de lei săptămânal,maxim,maximum
non-profit,nonprofit,non-profit,nonprofit
rolul super-spionului,rolul superspionului,super-spionului,superspionului
un deficit de maxim 3 %,un deficit de maximum 3 %,maxim,maximum
Varujuan Vosganian,Varujan Vosganian,Varujuan,Varujan
pe tema referendumului pentru votul uninominal și al alegerilor europarlamentare,pe tema referendumului pentru votul uninominal și a alegerilor europarlamentare,al,a
șase jucători cu minim zece puncte marcate,șase jucători cu minimum zece puncte marcate,minim,minimum
Barak Obama,Barack Obama,Barak,Barack
din punct de vedere al costurilor,din punctul de vedere al costurilor,punct,punctul
Sărbătoarea Paștelor,Sărbătoarea Paștilor,Paștelor,Paștilor
Un alfel de Crăciun,Un altfel de Crăciun,alfel,altfel
Doisprezece mii de metri pătrați,Douăsprezece mii de metri pătrați,Doisprezece,Douăsprezece
"Ori, în aprilie 2008","Or, în aprilie 2008","Ori,","Or,"
esee,eseuri,esee,eseuri
din punct de vedere al consumului,din punctul de vedere al consumului,punct,punctul
probabil în maxim trei zile,probabil în maximum trei zile,maxim,maximum
din punct de vedere al infrastructurii,din punctul de vedere al infrastructurii,punct,punctul
potrivit datelor preliminarii,potrivit datelor preliminare,preliminarii,preliminare
pe marginea groapei,pe marginea gropii,groapei,gropii
în maxim 24 de ore,în maximum 24 de ore,maxim,maximum
vaccin anti-cancer,vaccin anticancer,anti-cancer,anticancer
"Bă băiatule,","Bă, băiatule,",Bă,"Bă,"
prin aceste furtuni de mare presiune,prin aceste furtune de mare presiune,furtuni,furtune
"Domnul Naghiu, în aceată dimineață 270 de","Domnule Naghiu, în aceată dimineață 270 de",Domnul,Domnule
ca și concluzie,ca o concluzie,și,o
secretar de stat Ministerul Agriculturii,"secretar de stat, Ministerul Agriculturii",stat,"stat,"
14 stațiuni pe drumul crucii,14 staționări pe drumul crucii,stațiuni,staționări
din punct de vedere al schiurilor,din punctul de vedere al schiurilor,punct,punctul
se încăpăținează,se încăpățânează,încăpăținează,încăpățânează
Șef serviciului de comunicare,Șefa serviciului de comunicare,Șef,Șefa
cincizeci și doi de mii,cincizeci și două de mii,doi,două
"cea de-a cincea ediție a Festivalului de muzică contemporană, Jazz and more",cea de-a cincea ediție a Festivalului de muzică contemporană Jazz and more,"contemporană,",contemporană
se înregisdtrează,se înregistrează,înregisdtrează,înregistrează
Din punct de vedere al coloristicii și îngrijirii,Din punctul de vedere al coloristicii și îngrijirii,punct,punctul
din punct de vedere al mediului,din punctul de vedere al mediului,punct,punctul
minim 3 oameni,minimum 3 oameni,minim,minimum
aproape douăzeci și unu de luni,aproape douăzeci și una de luni,unu,una
din punct de vedere al liniștii,din punctul de vedere al liniștii,punct,punctul
Petreceri si reduceri,Petreceri și reduceri,si,și
atât asemănări punctuale cât și diferențe,"atât asemănări punctuale, cât și diferențe",punctuale,"punctuale,"
nu mai fă afacerile alea,nu mai face afacerile alea,fă,face
procent de nouăzeci la sută,proporție de nouăzeci la sută,procent,proporție
Același cer nehotărât,Același cer variabil,nehotărât,variabil
La revedere băieți...,"La revedere, băieți...",revedere,"revedere,"
vice-primarul,viceprimarul,vice-primarul,viceprimarul
Foarte costisitoare din punct de vedere al tratamentului,Foarte costisitoare din punctul de vedere al tratamentului,punct,punctul
în cursul după-amiezelor,în cursul după-amiezilor,după-amiezelor,după-amiezilor
în jurul unei mese plină cu hrană sănătoasă,în jurul unei mese pline cu hrană sănătoasă,plină,pline
"RĂMAS BUN, DLE. PREȘEDINTE!","RĂMAS BUN, DLE PREȘEDINTE!",DLE.,DLE
și ma lovit,și m-a lovit,ma,m-a
se va scade,se va scădea,scade,scădea
maxim 19 grade,maximum 19 grade,maxim,maximum
Curtea Zoologică,Grădina Zoologică,Curtea,Grădina
unșpe,unsprezece,unșpe,unsprezece
Aventurile unui doctor trăznit,Aventurile unui doctor trăsnit,trăznit,trăsnit
cazul Oane-Pepe,cazul Oana-Pepe,Oane-Pepe,Oana-Pepe
moderene,moderne,moderene,moderne
Ozone pentru... potență,Ozon pentru... potență,Ozone,Ozon
- accesibil unei proporții de maxim 20–25 %;,- accesibil unei proporții de maximum 20–25 %;,maxim,maximum
"Io, io vroiam teren","Io, io voiam teren",vroiam,voiam
hotărîre,hotărâre,hotărîre,hotărâre
de maxim 1.000 de metri,de maximum 1.000 de metri,maxim,maximum
"în special datorită locației excelente, la țărmul mării","în special datorită așezării excelente, la țărmul mării",locației,așezării
vorbesște,vorbește,vorbesște,vorbește
înaintea Cupei Mondiale transmisă în direct de TVR,înaintea Cupei Mondiale transmise în direct de TVR,transmisă,transmise
Trăiți doamnă!,"Trăiți, doamnă!",Trăiți,"Trăiți,"
"rămășițele pământești ale marelui sculptor, Constantin Brîncuși",rămășițele pământești ale marelui sculptor Constantin Brîncuși,"sculptor,",sculptor
șoferul TIR-ului,șoferul tirului,TIR-ului,tirului
vroiam,voiam,vroiam,voiam
Wajina Haris – Președinte Fundația Șeherezada,Wajina Haris – Președinte Fundației Șeherezada,Fundația,Fundației
ultimile portofolii,ultimele portofolii,ultimile,ultimele
schimbări masive de atitudine,schimbări mari de atitudine,masive,mari
la o distanță de maxim șapte metri,la o distanță de maximum șapte metri,maxim,maximum
"cel de-al doilea film, al douăzeci și douălea al seriei","cel de-al doilea film, al douăzeci și doilea al seriei",douălea,doilea
dir.,director,dir.,director
prea devreme în raport de momentul arestării,prea devreme în raport cu momentul arestării,de,cu
vi-am dat-o,v-am dat-o,vi-am,v-am
"Derbyul, ultima șansă","Derby-ul, ultima șansă","Derbyul,","Derby-ul,"
"Mâine, la orele nouăsprezece","Mâine, la ora nouăsprezece",orele,ora
Dragele noastre,Dragile noastre,Dragele,Dragile
una dintre capetele de afiș ale producției lui Cristian Mungiu,unul dintre capetele de afiș ale producției lui Cristian Mungiu,una,unul
doisprezece mii de metri cubi pe secundă,douăsprezece mii de metri cubi pe secundă,doisprezece,douăsprezece
de la sprayul paralizant,de la spray-ul paralizant,sprayul,spray-ul
douăzeci și două de metri,douăzeci și doi de metri,două,doi
Și din punct de vedere al traumelor,Și din punctul de vedere al traumelor,punct,punctul
minim 12 ani de închisoare,minimum 12 ani de închisoare,minim,minimum
"De la orele 21.00, de luni până","De la ora 21.00, de luni până",orele,ora
cea mai puțin nocivă formulă,cel mai puțin nocivă formulă,cea,cel
să circul prin centrul bucureștiului,să circul prin centrul Bucureștiului,bucureștiului,Bucureștiului
Omul vs. maimuță,Omul vs maimuță,vs.,vs
după douăzeci și unu de zile,după douăzeci și una de zile,unu,una
doisprezece virgulă cinci secunde,douăsprezece virgulă cinci secunde,doisprezece,douăsprezece
unul dintre pro-decanii Universității Bioterra,unul dintre prodecanii Universității Bioterra,pro-decanii,prodecanii
Afara din pilonul II,Afară din pilonul II,Afara,Afară
purtător de cuvânt regionala CFR,"purtător de cuvânt, regionala CFR",cuvânt,"cuvânt,"
Răspunsurile Ana-Mariei,Răspunsurile Anei-Maria,Ana-Mariei,Anei-Maria
BUCUREȘTI ÎN DIRECT LA OTV,"BUCUREȘTI, ÎN DIRECT LA OTV",BUCUREȘTI,"BUCUREȘTI,"
editoră,editoare,editoră,editoare
Baconshi,Baconschi,Baconshi,Baconschi
Sarbătoare,Sărbătoare,Sarbătoare,Sărbătoare
"deci, maxim un sfert de oră","deci, maximum un sfert de oră",maxim,maximum
zece mii sau doisprezece mii,zece mii sau douăsprezece mii,doisprezece,douăsprezece
în industria farma,în industria farmaceutică,farma,farmaceutică
"reglau viața privată, dar și pe cea ecleziastă","reglau viața privată, dar și pe cea ecleziastică",ecleziastă,ecleziastică
scăderi de până la 20% a prețurilor terenurilor,scăderi de până la 20% ale prețurilor terenurilor,a,ale
o menjeră,o menajeră,menjeră,menajeră
câte un biscuite,câte un biscuit,biscuite,biscuit
De exemplu dacă o companie,"De exemplu, dacă o companie",exemplu,"exemplu,"
cercetările preliminarii de la fața locului,cercetările preliminare de la fața locului,preliminarii,preliminare
Mihai Stoichita,Mihai Stoichiță,Stoichita,Stoichiță
"iar cel al PD-L doar 6%, din totalul voturilor exprimate",iar cel al PD-L doar 6% din totalul voturilor exprimate,"6%,",6%
Cei mai bine plătiți români,Cel mai bine plătiți români,Cei,Cel
diminuarea beneficiilor extra-salariale,diminuarea beneficiilor extrasalariale,extra-salariale,extrasalariale
dialogul inter-instituțional,dialogul interinstituțional,inter-instituțional,interinstituțional
secretarul de Stat american,secretarul de stat american,Stat,stat
PENTRU SANATATE,PENTRU SĂNĂTATE,SANATATE,SĂNĂTATE
la președenția Consiliului Județean Bacău,la președinția Consiliului Județean Bacău,președenția,președinția
Comandă Acum,Comandă acum,Acum,acum
Banca Mondiala,Banca Mondială,Mondiala,Mondială
Centrul Operational,Centrul Operațional,Operational,Operațional
o sută cincizeci și unu de proprietăți,o sută cincizeci și una de proprietăți,unu,una
Detalii si regulament,Detalii și regulament,si,și
Trupul tinerei moartă în accidentul de tren,Trupul tinerei moarte în accidentul de tren,moartă,moarte
în cazul unei paciente internată joi,în cazul unei paciente internate joi,internată,internate
Bogăția pământului risipită,"Bogăția pământului, risipită",pământului,"pământului,"
Kârgâstan,Kârgâzstan,Kârgâstan,Kârgâzstan
"cu concursul nostru, a românilor","cu concursul nostru, al românilor",a,al
PRIMELE MASURI,PRIMELE MĂSURI,MASURI,MĂSURI
"și din punct de vedere al apei, și din punct de vedere termic","și din punctul de vedere al apei, și din punct de vedere termic",punct,punctul
în ciuda ocaziilor din partea secundă a oaspeților,în ciuda ocaziilor din partea secundă ale oaspeților,a,ale
noul director al secției de ginecologie al spitalului CF2,noul director al secției de ginecologie a spitalului CF2,al,a
judecator,judecător,judecator,judecător
program de vizitare al minorului,program de vizitare a minorului,al,a
ziarul Cancan titra un titlu cel puțin neobișnuit,ziarul Cancan conținea un titlu cel puțin neobișnuit,titra,conținea
job-uri fără experiență,joburi fără experiență,job-uri,joburi
nu doar in îndeplinirea [...],nu doar în îndeplinirea [...],in,în
complect,complet,complect,complet
"o echipă care, din punct de vedere al maturizării și al","o echipă care, din punctul de vedere al maturizării și al",punct,punctul
doisprezece luni,douăsprezece luni,doisprezece,douăsprezece
Fermierii în impas,"Fermierii, în impas",Fermierii,"Fermierii,"
Tîrgu-Mureș,Târgu-Mureș,Tîrgu-Mureș,Târgu-Mureș
cu peleti,cu peleți,peleti,peleți
presedinte,președinte,presedinte,președinte
Ceușescu la tribunal,"Ceaușescu, la tribunal",Ceușescu,"Ceaușescu,"
încheierea contractului de construcție al autostrăzii Transilvania,încheierea contractului de construcție a autostrăzii Transilvania,al,a
Fost ministru de interne al României,Fost ministru de Interne al României,interne,Interne
om cu carater,om cu caracter,carater,caracter
în fiecare week-end,în fiecare weekend,week-end,weekend
reprez. oficial,reprezent oficial,reprez.,reprezent
doisprezece mii de lei,douăsprezece mii de lei,doisprezece,douăsprezece
adesori,adeseori,adesori,adeseori
șaptisprezece mii cinci sute de euro,șaptesprezece mii cinci sute de euro,șaptisprezece,șaptesprezece
cei doi președinți a celor două camere,cei doi președinți ai celor două camere,a,ai
Regimul special a pensiilor,Regimul special al pensiilor,a,al
lungile turnee în străinătate a lui Al Gore,lungile turnee în străinătate ale lui Al Gore,a,ale
Ionel Danciulescu,Ionel Dănciulescu,Danciulescu,Dănciulescu
cu ajutorul unei scări mobile și a unei cange,cu ajutorul unei scări mobile și al unei cange,a,al
șeminee,șemineuri,șeminee,șemineuri
intensificări in,intensificări în,in,în
din punct de vedere al prețurilor,din punctul de vedere al prețurilor,punct,punctul
preșidenției,președinției,preșidenției,președinției
mândria tatii,mândria tatei,tatii,tatei
Gloria Bistrita,Gloria Bistrița,Bistrita,Bistrița
din punct de vedere al unui polițist,din punctul de vedere al unui polițist,punct,punctul
POLIȚIA NU TRECEȚI!,"POLIȚIA, NU TRECEȚI!",POLIȚIA,"POLIȚIA,"
din punct de vedere al înfățișării,din punctul de vedere al înfățișării,punct,punctul
Sub influiența alcoolului,Sub influența alcoolului,influiența,influența
șase sute treizeci și unu de mii de oameni,șase sute treizeci și una de mii de oameni,unu,una
În domeniul imagisticii și medicinii nucleare,În domeniul imagisticii și medicinei nucleare,medicinii,medicinei
adevarăat,adevărat,adevarăat,adevărat
Subsidiara din Chicago,Filiala din Chicago,Subsidiara,Filiala
un concurs de preparat guiaș,un concurs de preparat gulaș,guiaș,gulaș
"Euro, la maxim","Euro, la maximum",maxim,maximum
doisprezece mii,douăsprezece mii,doisprezece,douăsprezece
în maxim trei ani,în maximum trei ani,maxim,maximum
au existat comentarii cu privință la votul din diaspora,au existat comentarii cu privire la votul din diaspora,privință,privire
comisia munca-n zadar,comisia Munca-n zadar,munca-n,Munca-n
Marius Urzica,Marius Urzică,Urzica,Urzică
"polițiștii români, dar și cei ucrainieni","polițiștii români, dar și cei ucraineni",ucrainieni,ucraineni
strict din punct de vedere al orei,strict din punctul de vedere al orei,punct,punctul
pentru maxim câteva minute,pentru maximum câteva minute,maxim,maximum
Un oraș al tandreții,Un oraș al tandreței,tandreții,tandreței
"pe spatele călătorilor, a oamenilor simpli","pe spatele călătorilor, al oamenilor simpli",a,al
Cea mai mare trăznaie,Cea mai mare trăsnaie,trăznaie,trăsnaie
cifre halucinante pe ștatele de plată,cifre halucinante pe statele de plată,ștatele,statele
unul din premiile,unul dintre premiile,din,dintre
în numele luptei anti-tero,în numele luptei antitero,anti-tero,antitero
paradă zombie,paradă zombi,zombie,zombi
Ascultați o poveste întâmplată chiar în luna mai,Ascultați o poveste petrecută chiar în luna mai,întâmplată,petrecută
dedicată zilelor naționale a unor mari popoare,dedicată zilelor naționale ale unor mari popoare,a,ale
vreme de maxim 45 de zile,vreme de maximum 45 de zile,maxim,maximum
în ultimile șase săptămâni,în ultimele șase săptămâni,ultimile,ultimele
prim-vicepreședinte a Partidului Verde,prim-vicepreședinte al Partidului Verde,a,al
ultimile acuzații,ultimele acuzații,ultimile,ultimele
Francois Hollande,François Hollande,Francois,François
finantator,finanțator,finantator,finanțator
"creem, în funcție de contextul respectiv","creăm, în funcție de contextul respectiv","creem,","creăm,"
optzeci și unu de persoane,optzeci și una de persoane,unu,una
"în lumea showbizului, al artiștilor","în lumea showbizului, a artiștilor",al,a
facut,făcut,facut,făcut
lupta pe legea pensiilor,lupta pentru legea pensiilor,pe,pentru
cu maxim 30 de kilometri pe oră,cu maximum 30 de kilometri pe oră,maxim,maximum
dupa-amiaza,după-amiază,dupa-amiaza,după-amiază
un campion al vioarei,un campion al viorii,vioarei,viorii
si votează,și votează,si,și
cu maxim 10%,cu maximum 10%,maxim,maximum
B-dul Ion Mihalache,Bd. Ion Mihalache,B-dul,Bd.
Cam cât se lucră la...?,Cam cât se lucrează la...?,lucră,lucrează
Riscul unei produceri de chiaguri și chiar a unei comoții cerebrale,Riscul unei produceri de chiaguri și chiar al unei comoții cerebrale,a,al
urmărirea penală a lui Udrea,urmărirea penală a Elenei Udrea,lui,Elenei
Printre crătițele aburinde,Printre cratițele aburinde,crătițele,cratițele
în urma hotărârii dată,în urma hotărârii date,dată,date
maxim 30-40 de acte normative,maximum 30-40 de acte normative,maxim,maximum
bilanțul inundațiilor și a alunecărilor de teren,bilanțul inundațiilor și al alunecărilor de teren,a,al
din punct de vedere al condițiilor meteo,din punctul de vedere al condițiilor meteo,punct,punctul
"Adu’ mașina, băi!","Adu mașina, băi!",Adu’,Adu
noi concediei,noi concedieri,concediei,concedieri
magnitudnea,magnitudinea,magnitudnea,magnitudinea
in general,în general,in,în
echipa naționala a Muntenegrului,echipa națională a Muntenegrului,naționala,națională
ocupația cea mai des întâlnită,ocupația cel mai des întâlnită,cea,cel
în categoria asta a pieselor mai slow,în categoria asta a pieselor mai lente,slow,lente
ale patronatului medicinii integrative,ale patronatului medicinei integrative,medicinii,medicinei
în finală turneului,în finala turneului,finală,finala
înarmați cu pietre și druguri de fier,înarmați cu pietre și drugi de fier,druguri,drugi
mai ajung pentru maxim două săptămâni,mai ajung pentru maximum două săptămâni,maxim,maximum
la începutul anului acesta,la începutul anului acestuia,acesta,acestuia
Primvicepreședintele Forum Invest,Prim-vicepreședintele Forum Invest,Primvicepreședintele,Prim-vicepreședintele
din punct de vedere al prețului benzinei,din punctul de vedere al prețului benzinei,punct,punctul
înfrîngere,înfrângere,înfrîngere,înfrângere
Ce-s cu versurile astea?,Ce-i cu versurile astea?,Ce-s,Ce-i
maxim 12 ore pe zi,maximum 12 ore pe zi,maxim,maximum
Suplimentele alimentare la control,"Suplimentele alimentare, la control",alimentare,"alimentare,"
ramâne în arest,rămâne în arest,ramâne,rămâne
în maxim 5 zile,în maximum 5 zile,maxim,maximum
director comercial a unei firme,director comercial al unei firme,a,al
franțujii,francezii,franțujii,francezii
consiler al guvernatorului,consilier al guvernatorului,consiler,consilier
Aeroclubul României,Aeroclubului României,Aeroclubul,Aeroclubului
insp.,inspector,insp.,inspector
pentru a asemenea realizare,pentru o asemenea realizare,a,o
cercetător științific Institutul Cantacuzino,"cercetător științific, Institutul Cantacuzino",științific,"științific,"
plăcuță de indentificare,plăcuță de identificare,indentificare,identificare
greaua mostenire,greaua moștenire,mostenire,moștenire
Primire a la Cluj,Primire à la Cluj,a,à
"modalitatea cea mai democratică, cu putință",modalitatea cea mai democratică cu putință,"democratică,",democratică
din punct de vedere al discursurilor,din punctul de vedere al discursurilor,punct,punctul
optisprezece ore,optsprezece ore,optisprezece,optsprezece
lct.,lt.,lct.,lt.
Diana Dumitrescu actor,Diana Dumitrescu actriță,actor,actriță
înserarea de informații,inserarea de informații,înserarea,inserarea
se întâmnplă,se întâmplă,întâmnplă,întâmplă
"politicienii se folosesc de aceste evenimente, de aceste locații [autostrăzile], pentru a...","politicienii se folosesc de aceste evenimente, de aceste locuri [autostrăzile], pentru a...",locații,locuri
cvasi-cariera noastră,cvasicariera noastră,cvasi-cariera,cvasicariera
Cea mai bine clasată echipă românească,Cel mai bine clasată echipă românească,Cea,Cel
O singură victorie în ultimile cinci partide,O singură victorie în ultimele cinci partide,ultimile,ultimele
când și-au revenit în fire,când și-au venit în fire,revenit,venit
muzică la maxim,muzică la maximum,maxim,maximum
sub control judicar,sub control judiciar,judicar,judiciar
una din puținele zone,una dintre puținele zone,din,dintre
competiție a zmeelor,competiție a zmeielor,zmeelor,zmeielor
iar cele din afara zone euro,iar cele din afara zonei euro,zone,zonei
maxim 10 rate,maximum 10 rate,maxim,maximum
unul din principiile,unul dintre principiile,din,dintre
președenția Franței,președinția Franței,președenția,președinția
douăzeci și unu de linguri de zahăr,douăzeci și una de linguri de zahăr,unu,una
victimile comunismului,victimele comunismului,victimile,victimele
o sută optzeci și două de centimetri,o sută optzeci și doi de centimetri,două,doi
La șaptisprezece ani de la Revoluție,La șaptesprezece ani de la Revoluție,șaptisprezece,șaptesprezece
campioana europeana,campioana europeană,europeana,europeană
din punct de vedere al Justiției,din punctul de vedere al Justiției,punct,punctul
maxim o lună,maximum o lună,maxim,maximum
unu Mai,întâi Mai,unu,întâi
Duel se senzație,Duel de senzație,se,de
vom avea parte probabil de noi știri în tema asta,vom avea parte probabil de noi știri pe tema asta,în,pe
din cauza alertei de tsunami lansată ceva mai devreme,din cauza alertei de tsunami lansate ceva mai devreme,lansată,lansate
Teatrul Tandarica,Teatrul Țăndărică,Tandarica,Țăndărică
"o sumă de maxim două sute de mii, pe an","o sumă de maximum două sute de mii, pe an",maxim,maximum
istoric Facultatea de Istorie,"istoric, Facultatea de Istorie",istoric,"istoric,"
ploile ultimilor zile,ploile ultimelor zile,ultimilor,ultimelor
fondatorul noei cooperative,fondatorul noii cooperative,noei,noii
întrucît,întrucât,întrucît,întrucât
optisprezece mii de euro,optsprezece mii de euro,optisprezece,optsprezece
Astfel România,"Astfel, România",Astfel,"Astfel,"
vicepreședinte a Întreprinderii Roșia Montana Gold Corporation,vicepreședinte al Întreprinderii Roșia Montana Gold Corporation,a,al
taxa de decongestionare a traficului,taxa de descongestionare a traficului,decongestionare,descongestionare
niște oameni de greutate a medicinii,niște oameni de greutate a medicinei,medicinii,medicinei
cu doisprezece minute înainte de...,cu douăsprezece minute înainte de...,doisprezece,douăsprezece
În vedere verificării legalității,În vederea verificării legalității,vedere,vederea
și vroiam,și voiam,vroiam,voiam
candidatura la președenție,candidatura la președinție,președenție,președinție
a Franții,a Franței,Franții,Franței
elicoper,elicopter,elicoper,elicopter
în apropierea ambasadei Indiei,în apropierea Ambasadei Indiei,ambasadei,Ambasadei
Informații secrecte,Informații secrete,secrecte,secrete
nici macar de suma,nici măcar de suma,macar,măcar
în schimbul unor garanții și a recapitulizării,în schimbul unor garanții și al recapitulizării,a,al
în centrul Belfast-ului,în centrul Belfastului,Belfast-ului,Belfastului
vroiam să întreb,voiam să întreb,vroiam,voiam
din punct de vedere al temperaturilor,din punctul de vedere al temperaturilor,punct,punctul
cea mai sfioasă apariție a acestei după-amieze,cea mai sfioasă apariție a acestei după-amiezi,după-amieze,după-amiezi
din punct de vedere al dezvoltării bazei de cazare,din punctul de vedere al dezvoltării bazei de cazare,punct,punctul
stil a la Carmen Șerban,stil à la Carmen Șerban,a,à
nerecomandată,recomandată,nerecomandată,recomandată
la Neorologie,la Neurologie,Neorologie,Neurologie
urmatoarei rute,următoarei rute,urmatoarei,următoarei
Bună Maria!,"Bună, Maria!",Bună,"Bună,"
supermaket-uri,supermaketuri,supermaket-uri,supermaketuri
PALCIDO DOMINGO,PLACIDO DOMINGO,PALCIDO,PLACIDO
mă-ti,mă-tii,mă-ti,mă-tii
doisprezece mii de spectatori,douăsprezece mii de spectatori,doisprezece,douăsprezece
vroiam să te-ntreb,voiam să te-ntreb,vroiam,voiam
mai ales pentru tir-uri,mai ales pentru tiruri,tir-uri,tiruri
optisprezece este numărul celor răniiți,optisprezece este numărul celor răniți,răniiți,răniți
din cadrul ... și a Inspectoratului de mediu Cluj,din cadrul ... și al Inspectoratului de mediu Cluj,a,al
frumosi,frumoși,frumosi,frumoși
managerul ștrand Timișoara,managerul ștrandului Timișoara,ștrand,ștrandului
Cei mai mulți dinte pasageri,Cei mai mulți dintre pasageri,dinte,dintre
comisar general Garda Națională de Mediu,"comisar general, Garda Națională de Mediu",general,"general,"
în acestă perioadă,în această perioadă,acestă,această
despre uciderea prședintelui,despre uciderea președintelui,prședintelui,președintelui
maxim 110,maximum 110,maxim,maximum
rabatabila,rabatabilă,rabatabila,rabatabilă
artis plastic,artist plastic,artis,artist
Datoria externa a ...,Datoria externă a ...,externa,externă
Președinte PDL,Președintele PDL,Președinte,Președintele
[președenție],[președinție],[președenție],[președinție]
copiii în vârsta de până la 12 ani,copiii în vârstă de până la 12 ani,vârsta,vârstă
Venezuela la urne,"Venezuela, la urne",Venezuela,"Venezuela,"
tânărul de douăsprezece ani,tânărul de doisprezece ani,douăsprezece,doisprezece
Din punct de vedere al unei persoane neavizate,Din punctul de vedere al unei persoane neavizate,punct,punctul
din punct de vedere al medicului dermatolog,din punctul de vedere al medicului dermatolog,punct,punctul
douăzeci și unu de zile,douăzeci și una de zile,unu,una
doisprezece mii de oameni,douăsprezece mii de oameni,doisprezece,douăsprezece
studiere a vertebrelor preistorice,studiere a vertebratelor preistorice,vertebrelor,vertebratelor
angajații ai două firme,angajații a două firme,ai,a
război între medicii și autoritățile județene,război între medici și autoritățile județene,medicii,medici
șantajarea unui pimar arădean,șantajarea unui primar arădean,pimar,primar
primul-ministru Călin Popescu Tăriceanu,prim-ministrul Călin Popescu Tăriceanu,primul-ministru,prim-ministrul
